fight date,fight weightclass,win method,rounds,time,Winner,Loser
"December 12, 2020",Flyweight,M-DEC,5,5:00,Deiveson Figueiredo,Brandon Moreno
"December 12, 2020",Lightweight,U-DEC,3,5:00,Charles Oliveira,Tony Ferguson
"December 12, 2020",Women's Strawweight,U-DEC,3,5:00,Mackenzie Dern,Virna Jandiroba
"December 12, 2020",Middleweight,KO/TKO,1,1:45,Kevin Holland,Jacare Souza
"December 12, 2020",Heavyweight,KO/TKO,2,2:34,Ciryl Gane,Junior Dos Santos
"December 12, 2020",Featherweight,KO/TKO,2,1:52,Cub Swanson,Daniel Pineda
"December 12, 2020",Lightweight,KO/TKO,1,4:05,Rafael Fiziev,Renato Moicano
"December 12, 2020",Featherweight,U-DEC,3,5:00,Gavin Tucker,Billy Quarantillo
"December 12, 2020",Women's Strawweight,KO/TKO,1,5:00,Tecia Torres,Sam Hughes
"December 12, 2020",Featherweight,SUB,3,3:02,Chase Hooper,Peter Barrett
"December 05, 2020",Middleweight,U-DEC,5,5:00,Marvin Vettori,Jack Hermansson
"December 05, 2020",Light Heavyweight,KO/TKO,2,3:37,Jamahal Hill,Ovince Saint Preux
"December 05, 2020",Lightweight,KO/TKO,1,4:06,Gabriel Benitez,Justin Jaynes
"December 05, 2020",Light Heavyweight,S-DEC,3,5:00,Roman Dolidze,John Allan
"December 05, 2020",Lightweight,KO/TKO,1,0:22,Jordan Leavitt,Matt Wiman
"December 05, 2020",Bantamweight,KO/TKO,2,2:15,Louis Smolka,Jose Quinonez
"December 05, 2020",Featherweight,KO/TKO,1,2:38,Ilia Topuria,Damon Jackson
"December 05, 2020",Heavyweight,U-DEC,3,5:00,Jake Collier,Gian Villante
"November 28, 2020",Light Heavyweight,SUB,1,2:34,Anthony Smith,Devin Clark
"November 28, 2020",Welterweight,SUB,2,4:28,Miguel Baeza,Takashi Sato
"November 28, 2020",Heavyweight,U-DEC,3,5:00,Parker Porter,Josh Parisian
"November 28, 2020",Featherweight,U-DEC,3,5:00,Bill Algeo,Spike Carlyle
"November 28, 2020",Women's Bantamweight,U-DEC,3,5:00,Norma Dumont,Ashlee Evans-Smith
"November 28, 2020",Featherweight,KO/TKO,2,4:28,Jonathan Pearce,Kai Kamaka
"November 28, 2020",Bantamweight,SUB,1,4:35,Anderson Dos Santos,Martin Day
"November 28, 2020",Women's Flyweight,KO/TKO,3,4:10,Gina Mazany,Rachael Ostovich
"November 28, 2020",Flyweight,KO/TKO,1,0:44,Su Mudaerji,Malcolm Gordon
"November 28, 2020",Catch Weight,SUB,2,2:29,Nate Maness,Luke Sanders
"November 21, 2020",Flyweight,SUB,1,1:57,Deiveson Figueiredo,Alex Perez
"November 21, 2020",Women's Flyweight,U-DEC,5,5:00,Valentina Shevchenko,Jennifer Maia
"November 21, 2020",Welterweight,U-DEC,3,5:00,Tim Means,Mike Perry
"November 21, 2020",Women's Flyweight,U-DEC,3,5:00,Katlyn Chookagian,Cynthia Calvillo
"November 21, 2020",Light Heavyweight,KO/TKO,2,3:36,Paul Craig,Mauricio Rua
"November 21, 2020",Flyweight,KO/TKO,1,4:59,Brandon Moreno,Brandon Royval
"November 21, 2020",Middleweight,KO/TKO,2,0:18,Joaquin Buckley,Jordan Wright
"November 21, 2020",Women's Flyweight,KO/TKO,2,4:33,Antonina Shevchenko,Ariane Lipski
"November 21, 2020",Welterweight,U-DEC,3,5:00,Nicolas Dalby,Daniel Rodriguez
"November 21, 2020",Welterweight,U-DEC,3,5:00,Alan Jouban,Jared Gooden
"November 21, 2020",Middleweight,U-DEC,3,5:00,Kyle Daukaus,Dustin Stoltzfus
"November 21, 2020",Welterweight,KO/TKO,3,2:47,Sasha Palatnikov,Louis Cosce
"November 14, 2020",Lightweight,S-DEC,5,5:00,Rafael Dos Anjos,Paul Felder
"November 14, 2020",Welterweight,KO/TKO,1,0:30,Khaos Williams,Abdul Razak Alhassan
"November 14, 2020",Women's Strawweight,U-DEC,3,5:00,Ashley Yoder,Miranda Granger
"November 14, 2020",Catch Weight,KO/TKO,2,1:32,Sean Strickland,Brendan Allen
"November 14, 2020",Women's Strawweight,U-DEC,3,5:00,Cory McKenna,Kay Hansen
"November 14, 2020",Women's Strawweight,U-DEC,3,5:00,Kanako Murata,Randa Markos
"November 14, 2020",Bantamweight,S-DEC,3,5:00,Tony Gravely,Geraldo de Freitas
"November 14, 2020",Welterweight,U-DEC,3,5:00,Alex Morono,Rhys McKee
"November 14, 2020",Heavyweight,U-DEC,3,5:00,Don'Tale Mayes,Roque Martinez
"November 07, 2020",Light Heavyweight,SUB,3,1:49,Glover Teixeira,Thiago Santos
"November 07, 2020",Heavyweight,U-DEC,3,5:00,Andrei Arlovski,Tanner Boser
"November 07, 2020",Bantamweight,U-DEC,3,5:00,Raoni Barcelos,Khalid Taha
"November 07, 2020",Featherweight,KO/TKO,1,3:51,Giga Chikadze,Jamey Simmons
"November 07, 2020",Women's Strawweight,U-DEC,3,5:00,Yan Xiaonan,Claudia Gadelha
"November 07, 2020",Middleweight,KO/TKO,3,1:26,Trevin Giles,Bevon Lewis
"November 07, 2020",Heavyweight,SUB,1,4:48,Alexandr Romanov,Marcos Rogerio de Lima
"November 07, 2020",Featherweight,SUB,3,2:22,Darren Elkins,Eduardo Garagorri
"November 07, 2020",Welterweight,KO/TKO,3,2:03,Max Griffin,Ramiz Brahimaj
"November 07, 2020",Bantamweight,SUB,1,2:43,Gustavo Lopez,Anthony Birchak
"October 31, 2020",Middleweight,KO/TKO,4,1:24,Uriah Hall,Anderson Silva
"October 31, 2020",Featherweight,U-DEC,3,5:00,Bryce Mitchell,Andre Fili
"October 31, 2020",Heavyweight,KO/TKO,2,1:12,Greg Hardy,Maurice Greene
"October 31, 2020",Middleweight,SUB,1,2:39,Kevin Holland,Charlie Ontiveros
"October 31, 2020",Lightweight,U-DEC,3,5:00,Thiago Moises,Bobby Green
"October 31, 2020",Lightweight,KO/TKO,1,1:46,Alexander Hernandez,Chris Gruetzemacher
"October 31, 2020",Bantamweight,KO/TKO,1,2:46,Adrian Yanez,Victor Rodriguez
"October 31, 2020",Middleweight,U-DEC,3,5:00,Sean Strickland,Jack Marshman
"October 31, 2020",Welterweight,SUB,2,2:09,Jason Witt,Cole Williams
"October 31, 2020",Light Heavyweight,KO/TKO,1,2:38,Dustin Jacoby,Justin Ledet
"October 31, 2020",Bantamweight,KO/TKO,3,2:51,Miles Johns,Kevin Natividad
"October 24, 2020",Lightweight,SUB,2,1:34,Khabib Nurmagomedov,Justin Gaethje
"October 24, 2020",Middleweight,U-DEC,3,5:00,Robert Whittaker,Jared Cannonier
"October 24, 2020",Heavyweight,KO/TKO,2,1:15,Alexander Volkov,Walt Harris
"October 24, 2020",Middleweight,KO/TKO,1,0:18,Phillip Hawes,Jacob Malkoun
"October 24, 2020",Women's Flyweight,SUB,2,3:31,Lauren Murphy,Liliya Shakirova
"October 24, 2020",Light Heavyweight,KO/TKO,1,4:19,Magomed Ankalaev,Ion Cutelaba
"October 24, 2020",Heavyweight,KO/TKO,1,4:59,Tai Tuivasa,Stefan Struve
"October 24, 2020",Catch Weight,U-DEC,3,5:00,Casey Kenney,Nathaniel Wood
"October 24, 2020",Welterweight,SUB,1,4:40,Shavkat Rakhmonov,Alex Oliveira
"October 24, 2020",Light Heavyweight,S-DEC,3,5:00,Da-Un Jung,Sam Alvey
"October 24, 2020",Women's Flyweight,KO/TKO,1,5:00,Miranda Maverick,Liana Jojua
"October 24, 2020",Lightweight,SUB,1,3:00,Joel Alvarez,Alexander Yakovlev
"October 17, 2020",Featherweight,U-DEC,5,5:00,Brian Ortega,Chan Sung Jung
"October 17, 2020",Women's Flyweight,KO/TKO,1,4:55,Jessica Andrade,Katlyn Chookagian
"October 17, 2020",Light Heavyweight,KO/TKO,1,2:01,Jimmy Crute,Modestas Bukauskas
"October 17, 2020",Welterweight,U-DEC,3,5:00,James Krause,Claudio Silva
"October 17, 2020",Featherweight,U-DEC,3,5:00,Jonathan Martinez,Thomas Almeida
"October 17, 2020",Lightweight,S-DEC,3,5:00,Guram Kutateladze,Mateusz Gamrot
"October 17, 2020",Women's Flyweight,U-DEC,3,5:00,Gillian Robertson,Poliana Botelho
"October 17, 2020",Middleweight,U-DEC,3,5:00,Junyong Park,John Phillips
"October 17, 2020",Lightweight,U-DEC,3,5:00,Fares Ziam,Jamie Mullarkey
"October 17, 2020",Light Heavyweight,KO/TKO,2,4:58,Maxim Grishin,Gadzhimurad Antigulov
"October 17, 2020",Bantamweight,KO/TKO,1,0:51,Said Nurmagomedov,Mark Striegl
"October 10, 2020",Bantamweight,KO/TKO,2,1:03,Cory Sandhagen,Marlon Moraes
"October 10, 2020",Featherweight,U-DEC,3,5:00,Edson Barboza,Makwan Amirkhani
"October 10, 2020",Heavyweight,U-DEC,3,5:00,Marcin Tybura,Ben Rothwell
"October 10, 2020",Middleweight,KO/TKO,1,3:22,Dricus Du Plessis,Markus Perez
"October 10, 2020",Heavyweight,KO/TKO,1,1:35,Tom Aspinall,Alan Baudot
"October 10, 2020",Featherweight,U-DEC,3,5:00,Ilia Topuria,Youssef Zalal
"October 10, 2020",Middleweight,KO/TKO,1,1:42,Tom Breese,KB Bhullar
"October 10, 2020",Heavyweight,KO/TKO,1,0:45,Chris Daukaus,Rodrigo Nascimento
"October 10, 2020",Middleweight,KO/TKO,2,2:03,Joaquin Buckley,Impa Kasanganay
"October 10, 2020",Bantamweight,U-DEC,3,5:00,Tony Kelley,Ali AlQaisi
"October 10, 2020",Featherweight,U-DEC,3,5:00,Giga Chikadze,Omar Morales
"October 10, 2020",Women's Bantamweight,U-DEC,3,5:00,Tracy Cortez,Stephanie Egger
"October 10, 2020",Flyweight,U-DEC,3,5:00,Tagir Ulanbekov,Bruno Silva
"October 03, 2020",Women's Bantamweight,U-DEC,5,5:00,Holly Holm,Irene Aldana
"October 03, 2020",Heavyweight,U-DEC,3,5:00,Carlos Felipe,Yorgan De Castro
"October 03, 2020",Women's Bantamweight,SUB,3,3:25,Germaine de Randamie,Julianna Pena
"October 03, 2020",Bantamweight,KO/TKO,2,0:44,Kyler Phillips,Cameron Else
"October 03, 2020",Middleweight,KO/TKO,2,3:15,Dusko Todorovic,Dequan Townsend
"October 03, 2020",Welterweight,U-DEC,3,5:00,Carlos Condit,Court McGee
"October 03, 2020",Featherweight,S-DEC,3,5:00,Charles Jourdain,Josh Culibao
"October 03, 2020",Middleweight,U-DEC,3,5:00,Nassourdine Imavov,Jordan Williams
"October 03, 2020",Women's Strawweight,U-DEC,3,5:00,Loma Lookboonmee,Jinh Yu Frey
"October 03, 2020",Bantamweight,U-DEC,3,5:00,Casey Kenney,Heili Alateng
"October 03, 2020",Lightweight,KO/TKO,1,1:12,Luigi Vendramini,Jessin Ayari
"September 26, 2020",Middleweight,KO/TKO,2,3:59,Israel Adesanya,Paulo Costa
"September 26, 2020",Light Heavyweight,KO/TKO,2,4:36,Jan Blachowicz,Dominick Reyes
"September 26, 2020",Flyweight,SUB,2,0:48,Brandon Royval,Kai Kara-France
"September 26, 2020",Women's Bantamweight,U-DEC,3,5:00,Ketlen Vieira,Sijara Eubanks
"September 26, 2020",Featherweight,S-DEC,3,5:00,Hakeem Dawodu,Zubaira Tukhugov
"September 26, 2020",Lightweight,U-DEC,3,5:00,Brad Riddell,Alex Da Silva
"September 26, 2020",Welterweight,U-DEC,3,5:00,Jake Matthews,Diego Sanchez
"September 26, 2020",Featherweight,KO/TKO,1,1:16,Ludovit Klein,Shane Young
"September 26, 2020",Light Heavyweight,U-DEC,3,5:00,William Knight,Aleksa Camur
"September 26, 2020",Heavyweight,SUB,1,3:48,Juan Espino,Jeff Hughes
"September 26, 2020",Light Heavyweight,U-DEC,3,5:00,Danilo Marques,Khadis Ibragimov
"September 19, 2020",Welterweight,KO/TKO,5,1:19,Colby Covington,Tyron Woodley
"September 19, 2020",Welterweight,Overturned,3,5:00,Donald Cerrone,Niko Price
"September 19, 2020",Middleweight,KO/TKO,1,0:17,Khamzat Chimaev,Gerald Meerschaert
"September 19, 2020",Light Heavyweight,KO/TKO,1,2:43,Johnny Walker,Ryan Spann
"September 19, 2020",Women's Strawweight,SUB,1,3:44,Mackenzie Dern,Randa Markos
"September 19, 2020",Middleweight,S-DEC,3,5:00,Kevin Holland,Darren Stewart
"September 19, 2020",Flyweight,U-DEC,3,5:00,David Dvorak,Jordan Espinosa
"September 19, 2020",Featherweight,SUB,3,1:21,Damon Jackson,Mirsad Bektic
"September 19, 2020",Women's Flyweight,SUB,1,2:29,Mayra Bueno Silva,Mara Romero Borella
"September 19, 2020",Women's Bantamweight,KO/TKO,3,4:21,Jessica-Rose Clark,Sarah Alpar
"September 19, 2020",Featherweight,SUB,1,0:52,Darrick Minner,TJ Laramie
"September 19, 2020",Bantamweight,KO/TKO,1,0:41,Randy Costa,Journey Newson
"September 19, 2020",Bantamweight,S-DEC,3,5:00,Andre Ewell,Irwin Rivera
"September 19, 2020",Bantamweight,KO/TKO,2,0:34,Tyson Nam,Jerome Rivera
"September 12, 2020",Women's Strawweight,S-DEC,5,5:00,Michelle Waterson,Angela Hill
"September 12, 2020",Lightweight,KO/TKO,1,1:33,Ottman Azaitar,Khama Worthy
"September 12, 2020",Women's Flyweight,U-DEC,3,5:00,Roxanne Modafferi,Andrea Lee
"September 12, 2020",Light Heavyweight,SUB,3,2:41,Ed Herman,Mike Rodriguez
"September 12, 2020",Lightweight,U-DEC,3,5:00,Bobby Green,Alan Patrick
"September 12, 2020",Featherweight,KO/TKO,3,0:07,Billy Quarantillo,Kyle Nelson
"September 12, 2020",Women's Bantamweight,U-DEC,3,5:00,Sijara Eubanks,Julia Avila
"September 12, 2020",Lightweight,Overturned,1,0:31,Roosevelt Roberts,Kevin Croom
"September 12, 2020",Heavyweight,SUB,2,4:22,Alexandr Romanov,Roque Martinez
"September 12, 2020",Catch Weight,SUB,2,4:20,Jalin Turner,Brok Weaver
"September 12, 2020",Welterweight,U-DEC,3,5:00,Bryan Barberena,Anthony Ivy
"September 12, 2020",Women's Flyweight,SUB,3,3:57,Sabina Mazo,Justine Kish
"September 05, 2020",Heavyweight,KO/TKO,5,0:26,Alistair Overeem,Augusto Sakai
"September 05, 2020",Light Heavyweight,KO/TKO,2,4:07,Ovince Saint Preux,Alonzo Menifield
"September 05, 2020",Welterweight,SUB,3,4:39,Michel Pereira,Zelim Imadaev
"September 05, 2020",Middleweight,SUB,1,2:42,Andre Muniz,Bartosz Fabinski
"September 05, 2020",Featherweight,SUB,1,0:39,Brian Kelleher,Ray Rodriguez
"September 05, 2020",Women's Flyweight,U-DEC,3,5:00,Viviane Araujo,Montana De La Rosa
"September 05, 2020",Bantamweight,U-DEC,3,5:00,Hunter Azure,Cole Smith
"August 29, 2020",Light Heavyweight,U-DEC,3,5:00,Aleksandar Rakic,Anthony Smith
"August 29, 2020",Welterweight,U-DEC,3,5:00,Neil Magny,Robbie Lawler
"August 29, 2020",Women's Flyweight,U-DEC,3,5:00,Alexa Grasso,Ji Yeon Kim
"August 29, 2020",Featherweight,U-DEC,3,5:00,Ricardo Lamas,Bill Algeo
"August 29, 2020",Middleweight,U-DEC,3,5:00,Impa Kasanganay,Maki Pitolo
"August 29, 2020",Middleweight,U-DEC,3,5:00,Zak Cummings,Alessio Di Chirico
"August 29, 2020",Featherweight,SUB,1,3:38,Alex Caceres,Austin Springer
"August 29, 2020",Welterweight,SUB,2,1:47,Sean Brady,Christian Aguilera
"August 29, 2020",Women's Strawweight,SUB,1,1:53,Polyana Viana,Emily Whitmire
"August 29, 2020",Women's Strawweight,SUB,2,1:33,Mallory Martin,Hannah Cifers
"August 22, 2020",Bantamweight,S-DEC,5,5:00,Frankie Edgar,Pedro Munhoz
"August 22, 2020",Light Heavyweight,KO/TKO,1,2:17,Mike Rodriguez,Marcin Prachnio
"August 22, 2020",Lightweight,SUB,1,3:51,Joe Solecki,Austin Hubbard
"August 22, 2020",Women's Flyweight,KO/TKO,2,1:38,Shana Dobson,Mariya Agapova
"August 22, 2020",Welterweight,KO/TKO,1,2:24,Daniel Rodriguez,Dwight Grant
"August 22, 2020",Women's Strawweight,U-DEC,3,5:00,Amanda Lemos,Inoue Mizuki
"August 22, 2020",Light Heavyweight,KO/TKO,1,1:31,Jordan Wright,Ike Villanueva
"August 22, 2020",Welterweight,U-DEC,3,5:00,Matthew Semelsberger,Carlton Minus
"August 22, 2020",Catch Weight,Overturned,2,1:59,Timur Valiev,Trevin Jones
"August 15, 2020",Heavyweight,U-DEC,5,5:00,Stipe Miocic,Daniel Cormier
"August 15, 2020",Bantamweight,KO/TKO,1,4:40,Marlon Vera,Sean O'Malley
"August 15, 2020",Heavyweight,KO/TKO,2,3:47,Jairzinho Rozenstruik,Junior Dos Santos
"August 15, 2020",Featherweight,KO/TKO,2,4:37,Daniel Pineda,Herbert Burns
"August 15, 2020",Bantamweight,U-DEC,3,5:00,Merab Dvalishvili,John Dodson
"August 15, 2020",Lightweight,U-DEC,3,5:00,Vinc Pichel,Jim Miller
"August 15, 2020",Women's Strawweight,SUB,1,1:44,Virna Jandiroba,Felice Herrig
"August 15, 2020",Featherweight,U-DEC,3,5:00,Danny Chavez,TJ Brown
"August 15, 2020",Women's Strawweight,U-DEC,3,5:00,Livinha Souza,Ashley Yoder
"August 15, 2020",Heavyweight,KO/TKO,1,4:28,Chris Daukaus,Parker Porter
"August 15, 2020",Featherweight,U-DEC,3,5:00,Kai Kamaka,Tony Kelley
"August 08, 2020",Heavyweight,KO/TKO,2,0:21,Derrick Lewis,Aleksei Oleinik
"August 08, 2020",Middleweight,U-DEC,3,5:00,Chris Weidman,Omari Akhmedov
"August 08, 2020",Middleweight,SUB,1,3:41,Darren Stewart,Maki Pitolo
"August 08, 2020",Women's Bantamweight,U-DEC,3,5:00,Yana Kunitskaya,Julija Stoliarenko
"August 08, 2020",Lightweight,KO/TKO,1,4:38,Beneil Dariush,Scott Holtzman
"August 08, 2020",Welterweight,U-DEC,3,5:00,Tim Means,Laureano Staropoli
"August 08, 2020",Middleweight,KO/TKO,3,0:32,Kevin Holland,Joaquin Buckley
"August 08, 2020",Lightweight,U-DEC,3,5:00,Nasrat Haqparast,Alexander Munoz
"August 08, 2020",Middleweight,KO/TKO,1,4:14,Andrew Sanchez,Wellington Turman
"August 08, 2020",Featherweight,SUB,3,1:43,Gavin Tucker,Justin Jaynes
"August 08, 2020",Featherweight,U-DEC,3,5:00,Youssef Zalal,Peter Barrett
"August 08, 2020",Bantamweight,S-DEC,3,5:00,Irwin Rivera,Ali AlQaisi
"August 01, 2020",Middleweight,KO/TKO,3,0:26,Derek Brunson,Edmen Shahbazyan
"August 01, 2020",Women's Flyweight,SUB,1,4:29,Jennifer Maia,Joanne Calderwood
"August 01, 2020",Welterweight,KO/TKO,2,4:56,Vicente Luque,Randy Brown
"August 01, 2020",Lightweight,U-DEC,3,5:00,Bobby Green,Lando Vannata
"August 01, 2020",Bantamweight,KO/TKO,3,0:57,Jonathan Martinez,Frankie Saenz
"August 01, 2020",Featherweight,U-DEC,3,5:00,Nate Maness,Johnny Munoz
"August 01, 2020",Featherweight,U-DEC,3,5:00,Jamall Emmers,Vince Cachero
"August 01, 2020",Bantamweight,U-DEC,3,5:00,Chris Gutierrez,Cody Durden
"July 25, 2020",Middleweight,U-DEC,5,5:00,Robert Whittaker,Darren Till
"July 25, 2020",Light Heavyweight,S-DEC,3,5:00,Mauricio Rua,Rogerio Nogueira
"July 25, 2020",Heavyweight,SUB,1,2:30,Fabricio Werdum,Alexander Gustafsson
"July 25, 2020",Women's Strawweight,S-DEC,3,5:00,Carla Esparza,Marina Rodriguez
"July 25, 2020",Light Heavyweight,SUB,1,2:06,Paul Craig,Gadzhimurad Antigulov
"July 25, 2020",Welterweight,U-DEC,3,5:00,Alex Oliveira,Peter Sobotta
"July 25, 2020",Welterweight,KO/TKO,1,3:09,Khamzat Chimaev,Rhys McKee
"July 25, 2020",Lightweight,KO/TKO,3,1:30,Francisco Trinaldo,Jai Herbert
"July 25, 2020",Welterweight,Overturned,1,2:48,Nicolas Dalby,Jesse Ronson
"July 25, 2020",Heavyweight,KO/TKO,1,0:45,Tom Aspinall,Jake Collier
"July 25, 2020",Featherweight,U-DEC,3,5:00,Movsar Evloev,Mike Grundy
"July 25, 2020",Heavyweight,KO/TKO,2,2:36,Tanner Boser,Raphael Pessoa
"July 25, 2020",Women's Bantamweight,U-DEC,3,5:00,Pannie Kianzad,Bethe Correia
"July 25, 2020",Welterweight,U-DEC,3,5:00,Ramazan Emeev,Niklas Stolze
"July 25, 2020",Bantamweight,U-DEC,3,5:00,Nathaniel Wood,John Castaneda
"July 18, 2020",Flyweight,SUB,1,4:48,Deiveson Figueiredo,Joseph Benavidez
"July 18, 2020",Middleweight,SUB,1,1:18,Jack Hermansson,Kelvin Gastelum
"July 18, 2020",Lightweight,U-DEC,3,5:00,Rafael Fiziev,Marc Diakiese
"July 18, 2020",Women's Flyweight,SUB,1,1:28,Ariane Lipski,Luana Carolina
"July 18, 2020",Flyweight,U-DEC,3,5:00,Askar Askarov,Alexandre Pantoja
"July 18, 2020",Light Heavyweight,KO/TKO,1,4:15,Roman Dolidze,Khadis Ibragimov
"July 18, 2020",Catch Weight,U-DEC,3,5:00,Grant Dawson,Nad Narimani
"July 18, 2020",Lightweight,SUB,1,2:25,Joel Alvarez,Joe Duffy
"July 18, 2020",Bantamweight,U-DEC,3,5:00,Brett Johns,Montel Jackson
"July 18, 2020",Bantamweight,SUB,1,4:42,Amir Albazi,Malcolm Gordon
"July 18, 2020",Lightweight,U-DEC,3,5:00,Arman Tsarukyan,Davi Ramos
"July 18, 2020",Heavyweight,M-DEC,3,5:00,Serghei Spivac,Carlos Felipe
"July 15, 2020",Featherweight,U-DEC,5,5:00,Calvin Kattar,Dan Ige
"July 15, 2020",Flyweight,U-DEC,3,5:00,Tim Elliott,Ryan Benoit
"July 15, 2020",Featherweight,U-DEC,3,5:00,Jimmie Rivera,Cody Stamann
"July 15, 2020",Women's Flyweight,U-DEC,3,5:00,Taila Santos,Molly McCann
"July 15, 2020",Welterweight,U-DEC,3,5:00,Mounir Lazzez,Abdul Razak Alhassan
"July 15, 2020",Middleweight,SUB,2,1:12,Khamzat Chimaev,John Phillips
"July 15, 2020",Featherweight,KO/TKO,1,4:18,Lerone Murphy,Ricardo Ramos
"July 15, 2020",Light Heavyweight,KO/TKO,1,5:00,Modestas Bukauskas,Andreas Michailidis
"July 15, 2020",Featherweight,U-DEC,3,5:00,Jared Gordon,Chris Fishgold
"July 15, 2020",Women's Flyweight,SUB,1,2:43,Liana Jojua,Diana Belbita
"July 15, 2020",Bantamweight,SUB,2,2:29,Jack Shore,Aaron Phillips
"July 11, 2020",Welterweight,U-DEC,5,5:00,Kamaru Usman,Jorge Masvidal
"July 11, 2020",Featherweight,S-DEC,5,5:00,Alexander Volkanovski,Max Holloway
"July 11, 2020",Bantamweight,KO/TKO,5,3:24,Petr Yan,Jose Aldo
"July 11, 2020",Women's Strawweight,S-DEC,3,5:00,Rose Namajunas,Jessica Andrade
"July 11, 2020",Women's Flyweight,SUB,1,2:21,Amanda Ribas,Paige VanZant
"July 11, 2020",Light Heavyweight,KO/TKO,2,0:49,Jiri Prochazka,Volkan Oezdemir
"July 11, 2020",Welterweight,S-DEC,3,5:00,Muslim Salikhov,Elizeu Zaleski dos Santos
"July 11, 2020",Featherweight,SUB,1,3:15,Makwan Amirkhani,Danny Henry
"July 11, 2020",Lightweight,U-DEC,3,5:00,Leonardo Santos,Roman Bogatov
"July 11, 2020",Heavyweight,U-DEC,3,5:00,Marcin Tybura,Maxim Grishin
"July 11, 2020",Flyweight,U-DEC,3,5:00,Raulian Paiva,Zhalgas Zhumagulov
"July 11, 2020",Women's Bantamweight,U-DEC,3,5:00,Karol Rosa,Vanessa Melo
"July 11, 2020",Bantamweight,KO/TKO,3,2:38,Davey Grant,Martin Day
"June 27, 2020",Lightweight,U-DEC,5,5:00,Dustin Poirier,Dan Hooker
"June 27, 2020",Welterweight,U-DEC,3,5:00,Mike Perry,Mickey Gall
"June 27, 2020",Heavyweight,SUB,3,3:44,Maurice Greene,Gian Villante
"June 27, 2020",Middleweight,U-DEC,3,5:00,Brendan Allen,Kyle Daukaus
"June 27, 2020",Welterweight,KO/TKO,1,0:48,Takashi Sato,Jason Witt
"June 27, 2020",Catch Weight,SUB,3,2:44,Julian Erosa,Sean Woodson
"June 27, 2020",Lightweight,SUB,3,2:53,Khama Worthy,Luis Pena
"June 27, 2020",Heavyweight,KO/TKO,1,2:41,Tanner Boser,Philipe Lins
"June 27, 2020",Women's Strawweight,SUB,3,2:26,Kay Hansen,Jinh Yu Frey
"June 27, 2020",Featherweight,U-DEC,3,5:00,Youssef Zalal,Jordan Griffin
"June 20, 2020",Heavyweight,U-DEC,5,5:00,Curtis Blaydes,Alexander Volkov
"June 20, 2020",Featherweight,U-DEC,3,5:00,Josh Emmett,Shane Burgos
"June 20, 2020",Women's Bantamweight,U-DEC,3,5:00,Raquel Pennington,Marion Reneau
"June 20, 2020",Welterweight,U-DEC,3,5:00,Belal Muhammad,Lyman Good
"June 20, 2020",Catch Weight,SUB,1,2:25,Jim Miller,Roosevelt Roberts
"June 20, 2020",Lightweight,U-DEC,3,5:00,Bobby Green,Clay Guida
"June 20, 2020",Women's Strawweight,U-DEC,3,5:00,Tecia Torres,Brianna Van Buren
"June 20, 2020",Middleweight,Overturned,2,4:50,Marc-Andre Barriault,Oskar Piechota
"June 20, 2020",Women's Flyweight,SUB,3,4:36,Gillian Robertson,Cortney Casey
"June 20, 2020",Lightweight,KO/TKO,1,0:41,Justin Jaynes,Frank Camacho
"June 20, 2020",Women's Flyweight,U-DEC,3,5:00,Lauren Murphy,Roxanne Modafferi
"June 20, 2020",Lightweight,KO/TKO,2,5:00,Austin Hubbard,Max Rohskopf
"June 13, 2020",Women's Flyweight,U-DEC,5,5:00,Cynthia Calvillo,Jessica Eye
"June 13, 2020",Middleweight,SUB,1,4:17,Marvin Vettori,Karl Roberson
"June 13, 2020",Lightweight,S-DEC,3,5:00,Charles Rosa,Kevin Aguilar
"June 13, 2020",Featherweight,S-DEC,3,5:00,Andre Fili,Charles Jourdain
"June 13, 2020",Bantamweight,U-DEC,3,5:00,Jordan Espinosa,Mark De La Rosa
"June 13, 2020",Women's Flyweight,SUB,1,2:42,Mariya Agapova,Hannah Cifers
"June 13, 2020",Catch Weight,U-DEC,3,5:00,Merab Dvalishvili,Gustavo Lopez
"June 13, 2020",Women's Bantamweight,KO/TKO,1,0:22,Julia Avila,Gina Mazany
"June 13, 2020",Bantamweight,KO/TKO,1,0:32,Tyson Nam,Zarrukh Adashev
"June 13, 2020",Welterweight,KO/TKO,1,0:59,Christian Aguilera,Anthony Ivy
"June 06, 2020",Women's Featherweight,U-DEC,5,5:00,Amanda Nunes,Felicia Spencer
"June 06, 2020",Bantamweight,KO/TKO,2,4:59,Cody Garbrandt,Raphael Assuncao
"June 06, 2020",Bantamweight,SUB,1,1:28,Aljamain Sterling,Cory Sandhagen
"June 06, 2020",Welterweight,U-DEC,3,5:00,Neil Magny,Anthony Rocco Martin
"June 06, 2020",Bantamweight,KO/TKO,1,1:54,Sean O'Malley,Eddie Wineland
"June 06, 2020",Featherweight,U-DEC,3,5:00,Alex Caceres,Chase Hooper
"June 06, 2020",Middleweight,KO/TKO,1,1:14,Ian Heinisch,Gerald Meerschaert
"June 06, 2020",Featherweight,U-DEC,3,5:00,Cody Stamann,Brian Kelleher
"June 06, 2020",Middleweight,KO/TKO,2,1:10,Maki Pitolo,Charles Byrd
"June 06, 2020",Flyweight,KO/TKO,1,4:06,Alex Perez,Jussier Formiga
